dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,100,100,2.718282,0.000000,0.991877,0.000068,2.709604,0.000000,1.568583,0.000029
2,100,100,1.235502,0.017563,0.955576,0.000008,1.234718,0.000000,1.952300,0.000008
3,100,100,1.069458,0.006362,1.058011,0.000010,1.066519,0.000000,2.327609,0.000138
4,100,100,1.025299,0.002835,1.157756,0.000006,1.022449,0.000000,2.675278,0.000027
5,32,100,1.010064,0.002588,1.261197,0.000008,1.006919,0.000000,3.132410,0.000021
6,64,100,1.004039,0.001006,1.362943,0.000007,1.002834,0.000000,3.526269,0.000023
7,128,100,1.001778,0.000391,1.464135,0.000016,1.001200,0.000000,3.911836,0.000021
8,256,100,1.000741,0.000124,1.565244,0.000007,1.000520,0.000000,4.312027,0.000017
9,512,100,1.000328,0.000047,1.663999,0.000007,1.000230,0.000000,4.702374,0.000021
10,1024,100,1.000150,0.000018,1.763570,0.000006,1.000103,0.000000,5.089209,0.000024
11,2048,100,1.000068,0.000006,1.866742,0.000013,1.000046,0.000000,5.473865,0.000026
12,4096,100,1.000031,0.000002,1.965550,0.000006,1.000021,0.000000,5.868574,0.000029
13,8192,100,1.000014,0.000001,2.067507,0.000012,1.000010,0.000000,6.250263,0.000028
14,16384,100,1.000006,0.000000,2.167635,0.000012,1.000005,0.000000,6.650238,0.000089
15,32768,100,1.000003,0.000000,2.273053,0.000009,1.000002,0.000000,7.030354,0.000026
16,65536,100,1.000001,0.000000,2.372909,0.000007,1.000001,0.000000,7.442432,0.000034
17,131072,100,1.000001,0.000000,2.490699,0.000012,1.000000,0.000000,7.803184,0.000034
18,262144,100,1.000000,0.000000,2.847104,0.000008,1.000000,0.000000,8.193919,0.000035
19,524288,100,1.000000,0.000000,4.682542,0.000012,1.000000,0.000000,8.578618,0.000029
20,1048576,100,1.000000,0.000000,9.222074,0.000053,1.000000,0.000000,8.999313,0.000471
21,2097152,100,1.000000,0.000000,18.816511,0.000061,1.000000,0.000000,9.653046,0.000344
22,4194304,100,1.000000,0.000000,38.368254,0.000081,1.000000,0.000000,12.148626,0.000048
23,8388608,100,1.000000,0.000000,81.096407,0.000134,1.000000,0.000000,17.258439,0.000030
24,16777216,100,1.000000,0.000000,162.072093,0.000186,1.000000,0.000000,27.655951,0.000036
25,33554432,100,1.000000,0.000000,357.426721,0.000278,1.000000,0.000000,49.095391,0.000398
